date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:17:27	6827/6827	---M-Z	200	added ('OK')	application/rss+xml	etag:%22547e2c0a7d94f551a5b9a3ddbef0b624-gzip%22	https://www.cybelius.fr/?feed=rss2&tag=2017	C:/Users/riko/Downloads/cymutec/www.cybelius.fr/index8ec4.html	(from https://www.cybelius.fr/?tag=2017)
22:17:28	5503/5503	---MC-	200	added ('OK')	application/json	date:Tue,%2014%20Sep%202021%2014:17:26%20GMT	https://www.cybelius.fr/index.php?rest_route=/wp/v2/tags/8	C:/Users/riko/Downloads/cymutec/www.cybelius.fr/index9f80.json	(from https://www.cybelius.fr/?tag=2017)
22:17:29	6856/6856	---M-Z	200	added ('OK')	application/rss+xml	etag:%22547e2c0a7d94f551a5b9a3ddbef0b624-gzip%22	https://www.cybelius.fr/?feed=rss2&tag=demonstration	C:/Users/riko/Downloads/cymutec/www.cybelius.fr/index2398.html	(from https://www.cybelius.fr/?tag=demonstration)
22:17:30	5778/5778	---MC-	200	added ('OK')	application/json	date:Tue,%2014%20Sep%202021%2014:17:28%20GMT	https://www.cybelius.fr/index.php?rest_route=/wp/v2/tags/39	C:/Users/riko/Downloads/cymutec/www.cybelius.fr/index1c33.json	(from https://www.cybelius.fr/?tag=demonstration)
22:17:32	6824/6824	---M-Z	200	added ('OK')	application/rss+xml	etag:%22547e2c0a7d94f551a5b9a3ddbef0b624-gzip%22	https://www.cybelius.fr/?feed=rss2&tag=fic	C:/Users/riko/Downloads/cymutec/www.cybelius.fr/index4a0f.html	(from https://www.cybelius.fr/?tag=fic)
22:17:32	5481/5481	---MC-	200	added ('OK')	application/json	date:Tue,%2014%20Sep%202021%2014:17:31%20GMT	https://www.cybelius.fr/index.php?rest_route=/wp/v2/tags/50	C:/Users/riko/Downloads/cymutec/www.cybelius.fr/index8f37.json	(from https://www.cybelius.fr/?tag=fic)
22:17:33	428/428	---M--	503	error ('Service%20Unavailable')	text/html	date:Tue,%2014%20Sep%202021%2014:17:33%20GMT	https://www.cybelius.fr/?feed=rss2&tag=gfi	C:/Users/riko/Downloads/cymutec/www.cybelius.fr/indexaab7.html	(from https://www.cybelius.fr/?tag=gfi)
22:17:34	5481/5481	---MC-	200	added ('OK')	application/json	date:Tue,%2014%20Sep%202021%2014:17:33%20GMT	https://www.cybelius.fr/index.php?rest_route=/wp/v2/tags/55	C:/Users/riko/Downloads/cymutec/www.cybelius.fr/index88a3.json	(from https://www.cybelius.fr/?tag=gfi)
22:17:37	5706/5706	---MC-	200	added ('OK')	application/json	date:Tue,%2014%20Sep%202021%2014:17:35%20GMT	https://www.cybelius.fr/index.php?rest_route=/wp/v2/tags/57	C:/Users/riko/Downloads/cymutec/www.cybelius.fr/index26cb.json	(from https://www.cybelius.fr/?tag=grand-palais)
22:17:37	6851/6851	---M-Z	200	added ('OK')	application/rss+xml	etag:%22547e2c0a7d94f551a5b9a3ddbef0b624-gzip%22	https://www.cybelius.fr/?feed=rss2&tag=grand-palais	C:/Users/riko/Downloads/cymutec/www.cybelius.fr/index776b.html	(from https://www.cybelius.fr/?tag=grand-palais)
22:17:39	6833/6833	---M-Z	200	added ('OK')	application/rss+xml	etag:%22547e2c0a7d94f551a5b9a3ddbef0b624-gzip%22	https://www.cybelius.fr/?feed=rss2&tag=keenai	C:/Users/riko/Downloads/cymutec/www.cybelius.fr/index8478.html	(from https://www.cybelius.fr/?tag=keenai)
22:17:39	5556/5556	---MC-	200	added ('OK')	application/json	date:Tue,%2014%20Sep%202021%2014:17:38%20GMT	https://www.cybelius.fr/index.php?rest_route=/wp/v2/tags/81	C:/Users/riko/Downloads/cymutec/www.cybelius.fr/index9d78.json	(from https://www.cybelius.fr/?tag=keenai)
